batch,in_len,out_len,rep,joules,j_per_token
1,128,64,0,85.048,1.3289
1,128,64,1,88.748,1.3867
1,128,64,2,89.26,1.3947
1,128,64,3,89.488,1.3982
1,128,64,4,86.986,1.3592
1,128,64,5,87.347,1.3648
1,128,64,6,87.697,1.3703
1,128,64,7,84.466,1.3198
1,128,64,8,88.158,1.3775
1,128,64,9,88.246,1.3788
1,128,64,10,84.893,1.3265
1,128,64,11,88.849,1.3883
1,128,64,12,89.044,1.3913
1,128,64,13,89.377,1.3965
1,128,64,14,86.294,1.3483
1,128,64,15,86.042,1.3444
1,128,64,16,89.921,1.405
1,128,64,17,90.388,1.4123
1,128,64,18,87.084,1.3607
1,128,64,19,91.092,1.4233
1,128,64,20,90.879,1.42
1,128,64,21,91.241,1.4256
1,128,64,22,91.857,1.4353
1,128,64,23,91.883,1.4357
1,128,64,24,88.507,1.3829
1,128,64,25,92.281,1.4419
1,128,64,26,92.751,1.4492
1,128,64,27,92.858,1.4509
1,128,64,28,93.443,1.46
1,128,64,29,89.506,1.3985
1,512,64,0,96.305,1.5048
1,512,64,1,95.935,1.499
1,512,64,2,96.453,1.5071
1,512,64,3,92.645,1.4476
1,512,64,4,100.187,1.5654
1,512,64,5,93.036,1.4537
1,512,64,6,97.061,1.5166
1,512,64,7,93.954,1.468
1,512,64,8,93.91,1.4673
1,512,64,9,93.73,1.4645
1,512,64,10,97.652,1.5258
1,512,64,11,94.034,1.4693
1,512,64,12,98.156,1.5337
1,512,64,13,94.675,1.4793
1,512,64,14,98.603,1.5407
1,512,64,15,94.935,1.4834
1,512,64,16,99.681,1.5575
1,512,64,17,99.348,1.5523
1,512,64,18,95.433,1.4911
1,512,64,19,98.8,1.5437
1,512,64,20,95.728,1.4957
1,512,64,21,95.371,1.4902
1,512,64,22,95.647,1.4945
1,512,64,23,99.753,1.5586
1,512,64,24,96.311,1.5049
1,512,64,25,96.397,1.5062
1,512,64,26,100.344,1.5679
1,512,64,27,96.585,1.5091
1,512,64,28,96.749,1.5117
1,512,64,29,97.081,1.5169
4,128,64,0,94.55,0.3693
4,128,64,1,94.985,0.371
4,128,64,2,91.24,0.3564
4,128,64,3,95.015,0.3712
4,128,64,4,94.858,0.3705
4,128,64,5,95.358,0.3725
4,128,64,6,91.229,0.3564
4,128,64,7,95.108,0.3715
4,128,64,8,95.765,0.3741
4,128,64,9,91.923,0.3591
4,128,64,10,91.735,0.3583
4,128,64,11,95.617,0.3735
4,128,64,12,96.02,0.3751
4,128,64,13,92.192,0.3601
4,128,64,14,96.053,0.3752
4,128,64,15,96.761,0.378
4,128,64,16,92.642,0.3619
4,128,64,17,92.699,0.3621
4,128,64,18,95.965,0.3749
4,128,64,19,92.396,0.3609
4,128,64,20,96.617,0.3774
4,128,64,21,92.841,0.3627
4,128,64,22,97.018,0.379
4,128,64,23,93.17,0.3639
4,128,64,24,96.884,0.3785
4,128,64,25,96.83,0.3782
4,128,64,26,93.514,0.3653
4,128,64,27,97.791,0.382
4,128,64,28,96.657,0.3776
4,128,64,29,97.708,0.3817
4,512,64,0,149.459,0.5838
4,512,64,1,144.112,0.5629
4,512,64,2,148.346,0.5795
4,512,64,3,147.382,0.5757
4,512,64,4,148.03,0.5782
4,512,64,5,142.014,0.5547
4,512,64,6,147.007,0.5742
4,512,64,7,143.137,0.5591
4,512,64,8,149.905,0.5856
4,512,64,9,147.369,0.5757
4,512,64,10,148.994,0.582
4,512,64,11,144.513,0.5645
4,512,64,12,148.574,0.5804
4,512,64,13,144.16,0.5631
4,512,64,14,150.373,0.5874
4,512,64,15,148.694,0.5808
4,512,64,16,149.017,0.5821
4,512,64,17,147.76,0.5772
4,512,64,18,148.153,0.5787
4,512,64,19,143.8,0.5617
4,512,64,20,146.816,0.5735
4,512,64,21,151.298,0.591
4,512,64,22,148.794,0.5812
4,512,64,23,145.146,0.567
4,512,64,24,148.998,0.582
4,512,64,25,152.386,0.5953
4,512,64,26,147.857,0.5776
4,512,64,27,148.013,0.5782
4,512,64,28,143.427,0.5603
4,512,64,29,148.377,0.5796
16,128,64,0,146.532,0.1431
16,128,64,1,146.004,0.1426
16,128,64,2,150.346,0.1468
16,128,64,3,145.172,0.1418
16,128,64,4,147.026,0.1436
16,128,64,5,145.193,0.1418
16,128,64,6,147.412,0.144
16,128,64,7,146.155,0.1427
16,128,64,8,146.251,0.1428
16,128,64,9,146.72,0.1433
16,128,64,10,144.051,0.1407
16,128,64,11,147.606,0.1441
16,128,64,12,146.982,0.1435
16,128,64,13,146.528,0.1431
16,128,64,14,145.069,0.1417
16,128,64,15,147.023,0.1436
16,128,64,16,144.706,0.1413
16,128,64,17,154.316,0.1507
16,128,64,18,149.328,0.1458
16,128,64,19,148.338,0.1449
16,128,64,20,140.343,0.1371
16,128,64,21,146.724,0.1433
16,128,64,22,150.305,0.1468
16,128,64,23,147.735,0.1443
16,128,64,24,139.729,0.1365
16,128,64,25,145.769,0.1424
16,128,64,26,146.054,0.1426
16,128,64,27,148.798,0.1453
16,128,64,28,148.07,0.1446
16,128,64,29,146.582,0.1431
16,512,64,0,209.036,0.2041
16,512,64,1,209.001,0.2041
16,512,64,2,204.568,0.1998
16,512,64,3,209.044,0.2041
16,512,64,4,203.656,0.1989
16,512,64,5,209.509,0.2046
16,512,64,6,209.432,0.2045
16,512,64,7,209.947,0.205
16,512,64,8,208.005,0.2031
16,512,64,9,209.659,0.2047
16,512,64,10,208.541,0.2037
16,512,64,11,210.169,0.2052
16,512,64,12,204.694,0.1999
16,512,64,13,203.708,0.1989
16,512,64,14,209.962,0.205
16,512,64,15,204.594,0.1998
16,512,64,16,209.722,0.2048
16,512,64,17,209.83,0.2049
16,512,64,18,204.555,0.1998
16,512,64,19,203.698,0.1989
16,512,64,20,209.175,0.2043
16,512,64,21,204.68,0.1999
16,512,64,22,210.571,0.2056
16,512,64,23,203.607,0.1988
16,512,64,24,208.9,0.204
16,512,64,25,203.72,0.1989
16,512,64,26,208.882,0.204
16,512,64,27,204.154,0.1994
16,512,64,28,209.741,0.2048
16,512,64,29,204.446,0.1997
