quant,batch,in_len,rep,joules,j_per_token,e2e_ms
fp16,8,128,0,81.783,0.1597,2097.5
fp16,8,128,1,86.827,0.1696,2163.1
fp16,8,128,2,85.352,0.1667,2118.2
fp16,8,128,3,86.695,0.1693,2103.7
fp16,8,128,4,85.266,0.1665,2144.9
fp16,8,128,5,86.44,0.1688,2146.9
fp16,8,128,6,85.867,0.1677,2105.5
fp16,8,128,7,87.06,0.17,2115.8
fp16,8,128,8,84.86,0.1657,2150.2
fp16,8,128,9,90.157,0.1761,2137.1
fp16,8,128,10,88.377,0.1726,2106.8
fp16,8,128,11,87.975,0.1718,2100.1
fp16,8,128,12,90.78,0.1773,2147.9
fp16,8,128,13,91.35,0.1784,2121.2
fp16,8,128,14,84.793,0.1656,2104.8
fp16,8,128,15,91.555,0.1788,2137.5
fp16,8,128,16,85.847,0.1677,2102.9
fp16,8,128,17,89.614,0.175,2089.8
fp16,8,128,18,89.141,0.1741,2103.2
fp16,8,128,19,91.799,0.1793,2096.1
fp16,8,128,20,90.392,0.1765,2096.2
fp16,8,128,21,87.393,0.1707,2089.2
fp16,8,128,22,89.942,0.1757,2130.3
fp16,8,128,23,91.021,0.1778,2093.9
fp16,8,128,24,92.728,0.1811,2085.8
fp16,8,128,25,91.734,0.1792,2105.7
fp16,8,128,26,88.787,0.1734,2088.4
fp16,8,128,27,90.2,0.1762,2125.9
fp16,8,128,28,92.157,0.18,2088.9
fp16,8,128,29,92.913,0.1815,2107.1
int8,1,128,0,264.207,4.1282,8184.1
int8,1,128,1,255.267,3.9885,7965.7
int8,1,128,2,265.731,4.152,8190.6
int8,1,128,3,269.154,4.2055,8252.2
int8,1,128,4,263.581,4.1185,8146.3
int8,1,128,5,264.428,4.1317,8128.0
int8,1,128,6,261.595,4.0874,8075.2
int8,1,128,7,263.059,4.1103,8003.6
int8,1,128,8,260.401,4.0688,7926.0
int8,1,128,9,267.113,4.1736,8140.4
int8,1,128,10,263.852,4.1227,8072.8
int8,1,128,11,268.207,4.1907,8095.0
int8,1,128,12,265.64,4.1506,8074.3
int8,1,128,13,272.575,4.259,8195.1
int8,1,128,14,267.006,4.172,8077.9
int8,1,128,15,270.113,4.2205,8124.9
int8,1,128,16,266.756,4.1681,8023.6
int8,1,128,17,268.801,4.2,8083.5
int8,1,128,18,272.552,4.2586,8217.7
int8,1,128,19,266.646,4.1663,8053.7
int8,1,128,20,266.92,4.1706,8010.2
int8,1,128,21,267.277,4.1762,8115.8
int8,1,128,22,273.931,4.2802,8173.6
int8,1,128,23,267.814,4.1846,8051.8
int8,1,128,24,271.646,4.2445,8080.6
int8,1,128,25,268.074,4.1887,7991.5
int8,1,128,26,274.856,4.2946,8185.2
int8,1,128,27,272.47,4.2573,8174.9
int8,1,128,28,272.262,4.2541,8081.0
int8,1,128,29,273.013,4.2658,8103.2
int8,1,512,0,277.089,4.3295,8131.2
int8,1,512,1,274.746,4.2929,8059.0
int8,1,512,2,278.565,4.3526,8171.2
int8,1,512,3,279.095,4.3609,8068.9
int8,1,512,4,273.01,4.2658,8003.8
int8,1,512,5,277.054,4.329,8015.0
int8,1,512,6,277.247,4.332,8036.4
int8,1,512,7,277.895,4.3421,8025.7
int8,1,512,8,276.97,4.3277,8061.5
int8,1,512,9,276.605,4.322,8011.5
int8,1,512,10,275.338,4.3022,8017.3
int8,1,512,11,276.218,4.3159,8074.9
int8,1,512,12,275.893,4.3108,8040.0
int8,1,512,13,283.264,4.426,8156.1
int8,1,512,14,280.19,4.378,8126.3
int8,1,512,15,286.935,4.4834,8284.7
int8,1,512,16,277.28,4.3325,8065.2
