in_len,rep,ttft_ms,itl_ms,e2e_ms,new_toks
128,0,1.4,39.13,2467.1,64
128,1,1.4,34.36,2166.3,64
128,2,1.5,34.0,2143.9,64
128,3,1.4,34.22,2158.0,64
128,4,1.6,34.57,2179.7,64
128,5,1.4,34.78,2192.6,64
128,6,1.4,34.72,2189.4,64
128,7,1.6,35.64,2247.3,64
128,8,1.5,34.6,2181.6,64
128,9,1.8,34.83,2196.3,64
128,10,1.5,34.53,2177.2,64
128,11,1.5,34.09,2149.6,64
128,12,1.4,33.84,2133.9,64
128,13,1.5,34.26,2160.1,64
128,14,1.7,34.99,2206.3,64
128,15,1.4,34.19,2155.8,64
128,16,1.8,34.62,2182.8,64
128,17,1.4,33.91,2137.7,64
128,18,1.4,33.32,2100.5,64
128,19,1.5,33.9,2137.7,64
512,0,1.4,35.41,2232.7,64
512,1,1.6,35.19,2218.8,64
512,2,1.5,34.23,2158.3,64
512,3,1.4,34.5,2175.4,64
512,4,1.5,34.32,2163.8,64
512,5,1.4,34.08,2148.6,64
512,6,1.6,34.37,2167.2,64
512,7,1.4,34.38,2167.4,64
512,8,1.4,34.84,2196.6,64
512,9,1.4,34.1,2150.2,64
512,10,1.5,34.32,2163.6,64
512,11,1.4,34.15,2153.5,64
512,12,1.5,33.98,2142.5,64
512,13,1.4,34.15,2153.3,64
512,14,1.5,34.31,2163.6,64
512,15,1.4,33.91,2138.3,64
512,16,1.4,34.01,2144.1,64
512,17,1.4,35.25,2222.2,64
512,18,1.5,33.93,2139.6,64
512,19,1.4,33.99,2143.2,64
